group_id,group_name,description,habitat,trophic_level,size_class,taxonomic_affinity
FG40,Benthic Grazers,"Herbivorous gastropods, urchins, and other invertebrates that graze on microalgae and detritus",benthic,herbivore,small,Gastropoda/Echinoidea
FG41,Macrozoobenthos Deposit Feeders,"Deposit-feeding polychaetes, holothurians, and other invertebrates processing sediment organic matter",benthic,detritivore,small,Polychaeta/Holothuroidea
FG42,Macrozoobenthos Suspension Feeders,"Suspension-feeding polychaetes, bryozoans, and hydroids filtering particles from the water column",benthic,filter_feeder,small,Polychaeta/Bryozoa
FG43,Large Zooplankton,"Copepods, euphausiids, chaetognaths, and other mesozooplankton >200 µm, key link between primary producers and fish",pelagic,zooplankton,small,Copepoda/Euphausiacea
FG44,Small Zooplankton,"Microzooplankton <200 µm including ciliates, flagellates, and copepod nauplii, grazing on phytoplankton",pelagic,zooplankton,small,Ciliophora
FG45,Jellyfish,"Gelatinous zooplankton including scyphozoans and hydrozoans, predators on zooplankton and fish larvae that can form blooms",pelagic,carnivore,small,Scyphozoa/Hydrozoa
FG46,Large Phytoplankton,"Diatoms and large dinoflagellates >20 µm, primary producers supporting the food web during upwelling events",pelagic,primary_producer,small,Bacillariophyceae/Dinophyta
FG47,Small Phytoplankton,"Nanoplankton and picoplankton <20 µm including cyanobacteria and small flagellates, dominant primary producers in oligotrophic waters",pelagic,primary_producer,small,Cyanobacteria
FG48,Microphytobenthos,"Benthic diatoms and microalgae on the seafloor, important primary producers in shallow waters",benthic,primary_producer,small,Bacillariophyceae
FG49,Macroalgae,"Seaweeds including kelps, red algae, and green algae providing habitat structure and primary production",benthic,primary_producer,medium,Phaeophyta/Rhodophyta
FG50,Seagrass,Zostera marina and other seagrasses forming important coastal habitats and nursery areas in the Colorado River delta region,benthic,primary_producer,medium,Tracheophyta
FG51,Detritus,"Particulate organic matter from dead organisms and fecal material, important food source for deposit feeders and bacteria",benthic,detritus,small,non-living
FG52,Bacteria,Heterotrophic bacteria decomposing organic matter and recycling nutrients through the microbial loop,benthic/pelagic,decomposer,small,Bacteria
